scheduled_departure_date_local,scheduled_arrival_station_code,daily_rank,difficulty_score
2025-08-08,CDG,11.00,0.33
2025-08-08,CUN,71.00,0.23
2025-08-08,CUN,158.00,0.19
2025-08-08,FRA,13.00,0.32
2025-08-08,FRA,1.00,0.44
2025-08-08,GRU,19.00,0.29
2025-08-08,HND,155.00,0.19
2025-08-08,HNL,34.00,0.27
2025-08-08,PUJ,49.00,0.24
2025-08-09,AUA,17.00,0.29
2025-08-09,BRU,99.00,0.18
2025-08-09,CDG,97.00,0.18
2025-08-09,CUN,3.00,0.35
2025-08-09,CUN,42.00,0.24
2025-08-09,FRA,50.00,0.23
2025-08-09,FRA,60.00,0.21
2025-08-09,GRU,46.00,0.23
2025-08-09,HND,1.00,0.41
2025-08-09,HND,23.00,0.27
2025-08-09,HND,23.00,0.27
2025-08-09,HND,1.00,0.41
2025-08-09,HNL,59.00,0.22
2025-08-09,NAS,2.00,0.36
2025-08-09,PUJ,6.00,0.33
2025-08-10,AUA,12.00,0.33
2025-08-10,BRU,32.00,0.27
2025-08-10,CDG,82.00,0.21
2025-08-10,CUN,37.00,0.26
2025-08-10,CUN,3.00,0.43
2025-08-10,FRA,71.00,0.22
2025-08-10,FRA,7.00,0.38
2025-08-10,GRU,25.00,0.29
2025-08-10,HND,72.00,0.22
2025-08-10,HNL,104.00,0.19
2025-08-10,NAS,8.00,0.37
2025-08-10,PUJ,14.00,0.32
2025-08-10,PUJ,14.00,0.32
2025-08-10,PUJ,1.00,0.46
2025-08-10,PUJ,1.00,0.46
2025-08-11,BRU,5.00,0.32
2025-08-11,CDG,91.00,0.20
2025-08-11,CUN,36.00,0.25
2025-08-11,CUN,2.00,0.40
2025-08-11,FRA,140.00,0.19
2025-08-11,FRA,20.00,0.26
2025-08-11,GRU,4.00,0.33
2025-08-11,HND,189.00,0.17
2025-08-11,HNL,13.00,0.29
2025-08-11,PUJ,22.00,0.26
2025-08-12,BRU,3.00,0.42
2025-08-12,CDG,83.00,0.21
2025-08-12,CUN,175.00,0.16
2025-08-12,CUN,1.00,0.43
2025-08-12,FRA,34.00,0.26
2025-08-12,FRA,80.00,0.21
2025-08-12,GRU,26.00,0.28
2025-08-12,HND,151.00,0.17
2025-08-12,HNL,13.00,0.32
2025-08-12,PUJ,133.00,0.18
2025-08-13,BRU,1.00,0.44
2025-08-13,CDG,33.00,0.26
2025-08-13,CUN,48.00,0.24
2025-08-13,CUN,58.00,0.22
2025-08-13,FRA,30.00,0.27
2025-08-13,FRA,34.00,0.26
2025-08-13,GRU,46.00,0.24
2025-08-13,HND,144.00,0.16
2025-08-13,HNL,51.00,0.23
2025-08-13,PUJ,106.00,0.18
2025-08-14,BRU,1.00,0.50
2025-08-14,CDG,3.00,0.42
2025-08-14,CUN,82.00,0.23
2025-08-14,CUN,16.00,0.34
2025-08-14,FRA,41.00,0.29
2025-08-14,FRA,28.00,0.31
2025-08-14,GRU,46.00,0.28
2025-08-14,HND,9.00,0.35
2025-08-14,HNL,65.00,0.25
2025-08-14,PUJ,89.00,0.22
2025-08-15,BRU,1.00,0.53
2025-08-15,CDG,89.00,0.24
2025-08-15,CUN,119.00,0.22
2025-08-15,CUN,40.00,0.29
2025-08-15,FRA,8.00,0.36
2025-08-15,FRA,31.00,0.30
2025-08-15,GRU,25.00,0.31
2025-08-15,HND,43.00,0.29
2025-08-15,HNL,67.00,0.26
2025-08-15,PUJ,118.00,0.22
