flight_number,scheduled_departure_date,total_pax,departure_delay_min
265,2025-08-15,109,4.00
1996,2025-08-08,223,-1.00
5229,2025-08-14,76,-6.00
1361,2025-08-13,137,7.00
1030,2025-08-09,133,39.00
5020,2025-08-03,30,-10.00
3718,2025-08-10,76,-4.00
5538,2025-08-09,20,-10.00
1778,2025-08-10,144,11.00
2137,2025-08-07,228,-1.00
2137,2025-08-13,163,16.00
2427,2025-08-05,107,-2.00
4482,2025-08-11,41,12.00
1304,2025-08-05,199,15.00
5250,2025-08-15,74,-1.00
2666,2025-08-10,251,-4.00
5568,2025-08-02,47,-7.00
5849,2025-08-09,88,-2.00
763,2025-08-12,218,-2.00
3465,2025-08-05,81,16.00
476,2025-08-07,135,-2.00
2254,2025-08-08,251,-7.00
2427,2025-08-15,77,29.00
1491,2025-08-03,168,0.00
3628,2025-08-04,76,1.00
2369,2025-08-08,188,-6.00
5577,2025-08-11,80,-1.00
422,2025-08-03,344,37.00
1041,2025-08-05,125,-5.00
1044,2025-08-15,272,64.00
944,2025-08-08,382,-4.00
1485,2025-08-15,197,0.00
4491,2025-08-01,47,0.00
4173,2025-08-06,44,-6.00
2008,2025-08-13,229,3.00
5538,2025-08-13,34,0.00
2424,2025-08-03,183,0.00
5140,2025-08-01,66,114.00
4425,2025-08-11,52,26.00
1830,2025-08-07,177,18.00
4468,2025-08-04,47,12.00
1811,2025-08-10,175,40.00
4518,2025-08-08,54,-2.00
5309,2025-08-11,34,23.00
5469,2025-08-02,76,-1.00
3468,2025-08-13,73,-5.00
4748,2025-08-08,37,165.00
2323,2025-08-06,291,-7.00
5819,2025-08-01,60,-7.00
2040,2025-08-04,183,-1.00
1599,2025-08-15,407,-1.00
2370,2025-08-14,203,-5.00
1495,2025-08-09,112,45.00
2684,2025-08-13,198,-3.00
5470,2025-08-01,85,-3.00
1776,2025-08-13,190,99.00
1577,2025-08-12,259,-4.00
1842,2025-08-06,218,215.00
5946,2025-08-14,64,6.00
4482,2025-08-07,43,-4.00
600,2025-08-11,113,-4.00
2040,2025-08-01,184,0.00
3433,2025-08-10,69,-1.00
5652,2025-08-13,86,43.00
5446,2025-08-04,83,3.00
534,2025-08-06,138,158.00
2106,2025-08-13,139,8.00
2323,2025-08-07,284,-2.00
1612,2025-08-12,54,203.00
3614,2025-08-03,89,8.00
5383,2025-08-13,54,8.00
2039,2025-08-01,258,18.00
312,2025-08-04,199,0.00
1933,2025-08-01,191,-3.00
5118,2025-08-14,52,-7.00
288,2025-08-08,197,68.00
5395,2025-08-05,62,-1.00
5868,2025-08-06,71,220.00
4748,2025-08-05,49,-7.00
5124,2025-08-02,38,7.00
1933,2025-08-12,139,21.00
293,2025-08-05,190,-11.00
1834,2025-08-07,161,10.00
970,2025-08-02,300,-7.00
1657,2025-08-09,140,-10.00
5275,2025-08-01,52,-4.00
3520,2025-08-13,81,-7.00
563,2025-08-05,223,-8.00
1803,2025-08-09,222,13.00
980,2025-08-09,285,12.00
4789,2025-08-09,70,73.00
4645,2025-08-13,48,-5.00
714,2025-08-01,129,18.00
2333,2025-08-03,199,2.00
3601,2025-08-03,80,-2.00
1859,2025-08-03,147,-1.00
224,2025-08-13,200,14.00
2278,2025-08-15,234,0.00
1658,2025-08-02,201,-2.00
5344,2025-08-15,51,9.00
1564,2025-08-03,184,53.00
4416,2025-08-14,58,-3.00
5448,2025-08-03,49,-1.00
3694,2025-08-09,91,16.00
4502,2025-08-13,55,-4.00
4390,2025-08-08,50,-9.00
2387,2025-08-07,230,114.00
3707,2025-08-09,49,6.00
3604,2025-08-02,78,34.00
3542,2025-08-11,95,-7.00
5444,2025-08-15,41,-2.00
2090,2025-08-02,207,1.00
3571,2025-08-08,72,-4.00
2059,2025-08-06,189,133.00
1989,2025-08-01,211,1.00
2011,2025-08-14,157,-5.00
4780,2025-08-14,45,-7.00
1933,2025-08-04,200,-4.00
2202,2025-08-12,200,73.00
2232,2025-08-08,147,-8.00
1741,2025-08-09,167,-7.00
5493,2025-08-13,63,102.00
845,2025-08-01,367,16.00
1740,2025-08-03,260,-2.00
2628,2025-08-15,81,-5.00
5344,2025-08-11,47,-6.00
1531,2025-08-14,145,33.00
622,2025-08-14,409,1.00
769,2025-08-15,275,46.00
767,2025-08-11,224,9.00
1983,2025-08-08,203,-2.00
4380,2025-08-13,45,-9.00
3635,2025-08-04,64,6.00
1363,2025-08-02,266,0.00
2652,2025-08-04,200,113.00
758,2025-08-05,210,17.00
1634,2025-08-07,206,64.00
5376,2025-08-05,72,0.00
5362,2025-08-07,52,33.00
2195,2025-08-04,166,-4.00
1742,2025-08-09,144,38.00
378,2025-08-13,192,31.00
5624,2025-08-05,95,18.00
563,2025-08-13,230,-4.00
5309,2025-08-15,52,8.00
2378,2025-08-14,126,4.00
3433,2025-08-06,72,-5.00
4518,2025-08-07,59,-7.00
3468,2025-08-04,84,-7.00
5383,2025-08-05,64,-10.00
5038,2025-08-06,40,237.00
5568,2025-08-11,45,-8.00
5843,2025-08-15,71,42.00
5643,2025-08-12,68,94.00
786,2025-08-11,161,-2.00
1198,2025-08-03,265,-4.00
4497,2025-08-09,52,-5.00
5905,2025-08-02,103,-2.00
5026,2025-08-02,33,-1.00
5555,2025-08-14,30,208.00
4571,2025-08-05,50,0.00
1097,2025-08-05,87,-4.00
1834,2025-08-13,188,-8.00
1975,2025-08-07,147,72.00
4458,2025-08-06,62,-3.00
4568,2025-08-04,49,-6.00
1851,2025-08-14,137,-5.00
5447,2025-08-04,68,-7.00
1564,2025-08-07,180,79.00
1030,2025-08-04,115,129.00
2417,2025-08-01,197,5.00
2155,2025-08-03,254,46.00
1205,2025-08-12,224,1.00
1905,2025-08-11,187,4.00
2147,2025-08-05,146,26.00
1316,2025-08-13,117,-6.00
1377,2025-08-04,176,22.00
4185,2025-08-09,57,-1.00
3614,2025-08-12,59,107.00
5555,2025-08-10,56,28.00
3551,2025-08-01,70,6.00
1872,2025-08-15,162,6.00
4574,2025-08-11,47,-8.00
476,2025-08-13,102,-9.00
4789,2025-08-11,88,62.00
4517,2025-08-02,55,-5.00
5230,2025-08-01,52,-6.00
1941,2025-08-08,114,12.00
310,2025-08-06,141,22.00
482,2025-08-15,163,-2.00
5565,2025-08-13,56,11.00
1905,2025-08-04,122,-4.00
4488,2025-08-09,62,0.00
1832,2025-08-14,120,80.00
4542,2025-08-02,35,-5.00
4718,2025-08-15,49,-3.00
2430,2025-08-09,140,-3.00
5026,2025-08-10,18,20.00
275,2025-08-12,131,24.00
1477,2025-08-14,119,-9.00
1252,2025-08-03,114,-3.00
2226,2025-08-04,189,-1.00
1414,2025-08-01,175,40.00
2144,2025-08-03,171,2.00
2666,2025-08-15,125,-7.00
1306,2025-08-06,185,-5.00
1677,2025-08-01,223,6.00
944,2025-08-06,347,-1.00
5795,2025-08-01,74,-1.00
5376,2025-08-09,80,165.00
2677,2025-08-10,184,23.00
5392,2025-08-05,65,-1.00
2609,2025-08-02,180,-6.00
1129,2025-08-03,181,20.00
1793,2025-08-08,138,-6.00
5593,2025-08-10,84,-2.00
4194,2025-08-02,57,-4.00
1634,2025-08-05,192,-3.00
4445,2025-08-01,49,-11.00
1205,2025-08-13,225,42.00
2389,2025-08-13,122,-11.00
1129,2025-08-02,181,-1.00
1576,2025-08-01,198,10.00
1580,2025-08-12,92,148.00
4194,2025-08-09,50,-2.00
1097,2025-08-07,133,94.00
5253,2025-08-15,81,1.00
5868,2025-08-13,90,53.00
5309,2025-08-08,51,94.00
1041,2025-08-07,109,6.00
1674,2025-08-09,233,5.00
5493,2025-08-09,64,-8.00
5493,2025-08-12,60,6.00
1741,2025-08-02,203,44.00
1297,2025-08-08,140,2.00
5309,2025-08-09,53,1.00
669,2025-08-14,34,-10.00
1967,2025-08-08,196,1.00
4780,2025-08-15,47,100.00
1583,2025-08-01,207,15.00
2195,2025-08-01,181,2.00
288,2025-08-11,120,-3.00
1477,2025-08-10,134,13.00
2618,2025-08-08,162,7.00
763,2025-08-03,249,-2.00
2378,2025-08-05,223,7.00
2440,2025-08-08,197,-5.00
2099,2025-08-11,179,8.00
2202,2025-08-02,240,1.00
4778,2025-08-02,47,-5.00
5375,2025-08-13,48,-7.00
5037,2025-08-11,15,61.00
2389,2025-08-15,146,-4.00
5517,2025-08-01,88,-3.00
1297,2025-08-07,122,-2.00
4739,2025-08-14,46,-7.00
3440,2025-08-14,80,-6.00
5251,2025-08-06,60,4.00
907,2025-08-05,277,0.00
4425,2025-08-15,50,-3.00
721,2025-08-12,176,20.00
5260,2025-08-02,50,-8.00
5555,2025-08-02,53,1.00
1492,2025-08-07,111,56.00
4610,2025-08-11,42,-6.00
5470,2025-08-12,88,-1.00
5946,2025-08-02,81,-3.00
5555,2025-08-08,51,-4.00
2628,2025-08-14,125,6.00
1620,2025-08-03,242,-5.00
4436,2025-08-14,50,33.00
2427,2025-08-08,127,11.00
5027,2025-08-10,16,-11.00
3614,2025-08-02,83,92.00
5274,2025-08-08,52,4.00
2424,2025-08-07,200,32.00
881,2025-08-05,359,-2.00
1599,2025-08-07,415,45.00
416,2025-08-08,225,-2.00
2658,2025-08-09,167,6.00
5414,2025-08-03,62,1.00
2226,2025-08-13,179,-3.00
1909,2025-08-04,147,-7.00
5964,2025-08-07,91,0.00
5289,2025-08-08,50,119.00
1215,2025-08-09,167,-2.00
5810,2025-08-05,75,-6.00
307,2025-08-04,147,-9.00
2609,2025-08-10,159,2.00
563,2025-08-11,209,-4.00
4530,2025-08-08,49,-4.00
752,2025-08-08,98,-5.00
1967,2025-08-01,202,-1.00
5521,2025-08-04,62,0.00
1398,2025-08-02,190,-5.00
5470,2025-08-10,68,-10.00
980,2025-08-04,253,27.00
2691,2025-08-13,197,15.00
5470,2025-08-14,92,18.00
2629,2025-08-12,125,-4.00
1710,2025-08-11,181,4.00
929,2025-08-02,206,45.00
1756,2025-08-03,167,12.00
4501,2025-08-13,50,-5.00
4559,2025-08-05,42,-8.00
1775,2025-08-12,201,-4.00
5968,2025-08-02,120,-4.00
5131,2025-08-01,52,45.00
3569,2025-08-01,90,-3.00
2691,2025-08-03,194,14.00
1010,2025-08-15,76,-1.00
4766,2025-08-13,49,-3.00
5930,2025-08-03,68,4.00
4748,2025-08-11,54,24.00
5437,2025-08-03,47,-6.00
2394,2025-08-15,230,9.00
2661,2025-08-07,182,-5.00
1983,2025-08-03,199,0.00
1775,2025-08-11,201,5.00
3700,2025-08-01,76,-2.00
1306,2025-08-10,220,82.00
5555,2025-08-07,47,96.00
2290,2025-08-10,214,55.00
2347,2025-08-09,143,19.00
1655,2025-08-04,156,30.00
660,2025-08-08,245,-6.00
4529,2025-08-04,54,28.00
721,2025-08-01,216,-6.00
4610,2025-08-04,47,1.00
1182,2025-08-07,172,13.00
2418,2025-08-10,147,-2.00
1291,2025-08-07,245,98.00
576,2025-08-05,247,18.00
4718,2025-08-07,53,-3.00
1923,2025-08-12,146,195.00
1742,2025-08-12,127,12.00
4549,2025-08-08,41,126.00
1980,2025-08-13,130,-7.00
1044,2025-08-09,281,-1.00
1801,2025-08-13,258,4.00
1182,2025-08-01,140,9.00
5099,2025-08-13,47,-2.00
1708,2025-08-14,219,5.00
4559,2025-08-13,50,-4.00
5868,2025-08-05,47,-1.00
5999,2025-08-11,78,43.00
2243,2025-08-09,151,-2.00
5262,2025-08-01,54,-4.00
3690,2025-08-02,85,0.00
5275,2025-08-04,55,-9.00
2657,2025-08-09,214,-2.00
4390,2025-08-14,54,38.00
5593,2025-08-08,53,44.00
5215,2025-08-01,52,-8.00
5603,2025-08-15,56,50.00
5810,2025-08-13,29,2.00
4406,2025-08-11,52,-7.00
4474,2025-08-01,44,-9.00
5405,2025-08-03,44,9.00
1775,2025-08-04,192,-1.00
476,2025-08-12,109,-5.00
5094,2025-08-08,46,-10.00
938,2025-08-05,204,7.00
2609,2025-08-07,180,-5.00
1905,2025-08-01,187,-3.00
2618,2025-08-01,142,4.00
1258,2025-08-09,139,-5.00
310,2025-08-12,144,31.00
767,2025-08-14,204,-5.00
422,2025-08-02,340,3.00
490,2025-08-01,141,-3.00
291,2025-08-13,168,24.00
5748,2025-08-11,71,8.00
2369,2025-08-11,200,-3.00
4517,2025-08-13,55,63.00
5320,2025-08-04,51,92.00
2172,2025-08-10,162,65.00
3440,2025-08-05,78,-5.00
5593,2025-08-13,56,-5.00
1113,2025-08-02,172,-2.00
1584,2025-08-06,247,-1.00
4380,2025-08-03,52,-7.00
2488,2025-08-12,101,-7.00
3535,2025-08-05,75,-8.00
5790,2025-08-10,45,126.00
5748,2025-08-14,72,0.00
2137,2025-08-06,171,-1.00
2347,2025-08-14,198,34.00
5505,2025-08-10,29,189.00
343,2025-08-09,200,-1.00
411,2025-08-06,116,-4.00
1941,2025-08-13,97,-4.00
5833,2025-08-11,73,0.00
1006,2025-08-11,153,20.00
4416,2025-08-07,52,5.00
5420,2025-08-09,45,-1.00
5930,2025-08-04,47,-2.00
617,2025-08-12,142,224.00
5026,2025-08-06,21,88.00
1069,2025-08-03,136,23.00
4461,2025-08-15,39,-7.00
5448,2025-08-06,55,1.00
2106,2025-08-10,251,-1.00
3718,2025-08-03,79,-2.00
2481,2025-08-01,187,-5.00
5646,2025-08-01,58,1.00
2278,2025-08-01,263,15.00
4452,2025-08-01,45,-2.00
845,2025-08-14,285,139.00
660,2025-08-12,211,-5.00
1923,2025-08-09,134,65.00
1492,2025-08-11,131,14.00
2343,2025-08-12,73,288.00
602,2025-08-12,82,10.00
2059,2025-08-11,195,11.00
2609,2025-08-03,156,-6.00
1641,2025-08-10,90,26.00
2071,2025-08-07,209,-4.00
5532,2025-08-08,92,-9.00
5344,2025-08-07,48,-6.00
3433,2025-08-13,82,-10.00
5474,2025-08-07,44,4.00
5538,2025-08-04,50,-8.00
5118,2025-08-13,56,-3.00
793,2025-08-06,122,13.00
1485,2025-08-02,183,-9.00
2211,2025-08-01,199,4.00
5225,2025-08-04,53,7.00
1492,2025-08-12,80,207.00
2370,2025-08-06,205,6.00
5729,2025-08-04,54,-10.00
3641,2025-08-04,68,38.00
1823,2025-08-09,236,2.00
2138,2025-08-02,193,22.00
2182,2025-08-03,180,5.00
2005,2025-08-02,128,3.00
5420,2025-08-02,57,3.00
5427,2025-08-05,47,-6.00
3,2025-08-09,179,24.00
359,2025-08-02,186,14.00
3542,2025-08-13,61,-3.00
669,2025-08-01,86,-6.00
3433,2025-08-01,75,-6.00
4451,2025-08-10,46,-6.00
2483,2025-08-06,204,4.00
881,2025-08-09,322,0.00
1643,2025-08-06,201,-9.00
1209,2025-08-07,200,54.00
2361,2025-08-08,223,-3.00
2347,2025-08-12,171,217.00
5280,2025-08-10,76,20.00
5737,2025-08-07,78,16.00
5448,2025-08-10,52,5.00
2232,2025-08-15,126,-4.00
2040,2025-08-08,218,23.00
791,2025-08-06,237,-2.00
2226,2025-08-07,188,83.00
1403,2025-08-11,129,56.00
1124,2025-08-08,195,30.00
2417,2025-08-11,192,5.00
2039,2025-08-06,181,134.00
987,2025-08-13,382,5.00
293,2025-08-15,165,0.00
3468,2025-08-14,95,-9.00
275,2025-08-10,186,8.00
2090,2025-08-13,72,-6.00
2243,2025-08-06,113,382.00
5868,2025-08-09,86,-3.00
4436,2025-08-11,50,-5.00
5819,2025-08-04,44,-10.00
4429,2025-08-14,50,2.00
1224,2025-08-01,237,-5.00
4451,2025-08-02,49,31.00
1097,2025-08-09,149,1.00
3523,2025-08-08,97,-2.00
5763,2025-08-14,49,-5.00
5534,2025-08-08,65,16.00
399,2025-08-07,211,-3.00
481,2025-08-07,131,76.00
4549,2025-08-11,56,-3.00
5429,2025-08-09,100,73.00
5140,2025-08-12,22,28.00
5526,2025-08-14,58,57.00
276,2025-08-08,122,-4.00
2628,2025-08-12,88,119.00
1538,2025-08-02,196,-6.00
2090,2025-08-06,101,-6.00
1205,2025-08-10,204,-3.00
1324,2025-08-14,195,1.00
912,2025-08-06,153,190.00
5538,2025-08-03,50,-3.00
3,2025-08-08,201,2.00
5557,2025-08-11,86,-8.00
4436,2025-08-08,50,-6.00
4610,2025-08-10,54,-7.00
503,2025-08-10,258,10.00
2154,2025-08-13,210,69.00
4584,2025-08-07,58,82.00
1239,2025-08-11,152,-2.00
5135,2025-08-07,46,118.00
2280,2025-08-11,266,0.00
5094,2025-08-01,75,5.00
1030,2025-08-13,103,16.00
2148,2025-08-14,142,13.00
617,2025-08-05,133,-10.00
909,2025-08-10,270,0.00
1693,2025-08-15,110,-2.00
721,2025-08-14,218,-2.00
1677,2025-08-09,235,87.00
669,2025-08-03,149,-9.00
1775,2025-08-15,249,-1.00
1135,2025-08-03,205,-3.00
5103,2025-08-02,52,-5.00
5405,2025-08-09,51,47.00
1006,2025-08-03,174,13.00
4416,2025-08-02,52,87.00
5859,2025-08-11,88,-9.00
1941,2025-08-02,156,34.00
5352,2025-08-14,49,105.00
4610,2025-08-08,51,-1.00
1580,2025-08-08,205,79.00
907,2025-08-14,336,145.00
5103,2025-08-05,51,14.00
422,2025-08-14,351,3.00
561,2025-08-04,187,-4.00
611,2025-08-04,255,-3.00
1815,2025-08-10,163,6.00
4809,2025-08-12,73,4.00
1576,2025-08-07,168,45.00
2133,2025-08-01,199,107.00
399,2025-08-11,163,-5.00
2200,2025-08-01,214,18.00
5631,2025-08-05,60,-6.00
1010,2025-08-10,168,0.00
2333,2025-08-13,203,-3.00
4546,2025-08-07,56,7.00
1328,2025-08-15,182,11.00
2387,2025-08-10,299,-11.00
1100,2025-08-03,176,-5.00
5275,2025-08-10,50,59.00
1531,2025-08-04,127,44.00
1933,2025-08-02,195,80.00
5138,2025-08-01,40,183.00
2369,2025-08-12,202,-2.00
1933,2025-08-14,182,2.00
5122,2025-08-08,43,-7.00
118,2025-08-03,191,47.00
2640,2025-08-07,103,-7.00
1485,2025-08-01,210,7.00
359,2025-08-07,165,-3.00
4530,2025-08-04,55,-1.00
1975,2025-08-12,123,-3.00
1113,2025-08-04,169,-10.00
5414,2025-08-11,71,-4.00
2385,2025-08-13,172,-6.00
2347,2025-08-02,167,25.00
5652,2025-08-14,74,26.00
5521,2025-08-08,46,-2.00
2251,2025-08-01,142,-4.00
5100,2025-08-01,39,-7.00
4529,2025-08-06,56,-6.00
944,2025-08-07,336,5.00
4501,2025-08-06,44,-6.00
5577,2025-08-01,88,-4.00
416,2025-08-03,214,34.00
399,2025-08-10,205,235.00
1270,2025-08-07,200,-4.00
1655,2025-08-10,160,17.00
1655,2025-08-02,169,0.00
2414,2025-08-05,147,-5.00
5290,2025-08-04,85,104.00
5362,2025-08-08,12,218.00
2418,2025-08-12,116,-5.00
4463,2025-08-07,49,0.00
4502,2025-08-02,48,-4.00
1363,2025-08-11,232,-6.00
2133,2025-08-04,187,7.00
1967,2025-08-10,215,1.00
1641,2025-08-11,45,13.00
1314,2025-08-07,237,-3.00
752,2025-08-15,142,8.00
2225,2025-08-13,119,-11.00
4185,2025-08-07,50,1.00
265,2025-08-01,124,2.00
3465,2025-08-08,68,-2.00
5984,2025-08-07,91,-4.00
1097,2025-08-10,127,40.00
1069,2025-08-08,103,12.00
3520,2025-08-15,61,-6.00
5712,2025-08-03,82,-3.00
4425,2025-08-09,54,-6.00
5624,2025-08-11,90,1.00
356,2025-08-02,178,2.00
5810,2025-08-11,50,66.00
5984,2025-08-09,114,-7.00
374,2025-08-11,125,4.00
3,2025-08-14,182,-3.00
1538,2025-08-04,178,-9.00
1708,2025-08-07,123,3.00
4452,2025-08-14,38,254.00
791,2025-08-15,201,60.00
2251,2025-08-05,118,7.00
3668,2025-08-12,51,-4.00
2254,2025-08-13,236,5.00
422,2025-08-10,314,5.00
2440,2025-08-13,126,0.00
721,2025-08-11,211,-6.00
2202,2025-08-08,194,0.00
1564,2025-08-09,192,18.00
1660,2025-08-15,256,3.00
5763,2025-08-06,63,5.00
4186,2025-08-03,49,-5.00
1209,2025-08-12,73,175.00
2254,2025-08-09,259,-5.00
2414,2025-08-10,177,-3.00
3569,2025-08-10,80,-4.00
4638,2025-08-01,79,2.00
5608,2025-08-02,80,-5.00
1156,2025-08-01,199,132.00
5274,2025-08-06,40,126.00
5026,2025-08-09,27,-8.00
2195,2025-08-03,211,43.00
4712,2025-08-01,87,31.00
399,2025-08-14,181,0.00
275,2025-08-11,180,2.00
5229,2025-08-12,60,-5.00
5852,2025-08-11,60,-3.00
791,2025-08-10,275,12.00
4636,2025-08-03,59,5.00
5272,2025-08-12,55,57.00
5215,2025-08-14,52,-9.00
3707,2025-08-15,56,5.00
4645,2025-08-06,44,2.00
4780,2025-08-02,61,-4.00
5821,2025-08-03,48,-7.00
476,2025-08-01,104,0.00
2649,2025-08-04,193,-4.00
1617,2025-08-02,122,8.00
3694,2025-08-14,80,8.00
2665,2025-08-03,199,16.00
1996,2025-08-06,243,-6.00
2067,2025-08-14,197,84.00
587,2025-08-08,166,-2.00
482,2025-08-04,195,2.00
4549,2025-08-01,55,-6.00
1006,2025-08-14,168,6.00
3464,2025-08-11,78,-1.00
1124,2025-08-12,195,52.00
1920,2025-08-14,182,7.00
467,2025-08-15,124,-5.00
2179,2025-08-06,234,222.00
2067,2025-08-09,250,-6.00
5748,2025-08-03,79,10.00
5234,2025-08-06,35,-3.00
2635,2025-08-01,148,0.00
445,2025-08-01,219,-4.00
4491,2025-08-10,54,71.00
4416,2025-08-09,59,7.00
416,2025-08-12,197,48.00
2691,2025-08-04,187,-3.00
2658,2025-08-10,174,8.00
4491,2025-08-12,40,891.00
909,2025-08-11,240,2.00
5637,2025-08-01,68,8.00
1823,2025-08-12,233,-2.00
4529,2025-08-08,58,-6.00
5251,2025-08-07,77,41.00
5099,2025-08-02,68,-5.00
1041,2025-08-08,140,17.00
1525,2025-08-15,131,1.00
1879,2025-08-02,232,-5.00
5360,2025-08-12,47,5.00
5536,2025-08-01,77,-1.00
4613,2025-08-09,55,-4.00
4518,2025-08-03,56,-1.00
1641,2025-08-14,33,132.00
5138,2025-08-08,23,109.00
5314,2025-08-13,38,77.00
4460,2025-08-10,48,-1.00
2635,2025-08-02,139,0.00
602,2025-08-10,182,52.00
5229,2025-08-04,62,-7.00
4792,2025-08-01,87,1.00
2629,2025-08-13,200,25.00
1923,2025-08-05,167,-3.00
3707,2025-08-10,61,-6.00
1413,2025-08-05,154,-10.00
2179,2025-08-04,260,9.00
2147,2025-08-11,120,34.00
490,2025-08-12,133,0.00
1830,2025-08-13,156,-2.00
1082,2025-08-15,142,0.00
2148,2025-08-10,167,53.00
1006,2025-08-06,149,164.00
1485,2025-08-05,197,120.00
5215,2025-08-15,53,-9.00
5643,2025-08-08,42,-3.00
1612,2025-08-07,100,3.00
4476,2025-08-12,56,198.00
2138,2025-08-07,177,1.00
5108,2025-08-05,51,39.00
769,2025-08-07,270,91.00
4429,2025-08-05,55,-9.00
1920,2025-08-06,155,5.00
4518,2025-08-04,56,21.00
1655,2025-08-06,131,121.00
2364,2025-08-03,150,-1.00
592,2025-08-05,106,-5.00
1291,2025-08-01,182,-3.00
4395,2025-08-11,27,-12.00
5847,2025-08-07,90,60.00
3663,2025-08-05,59,-10.00
5499,2025-08-13,28,-1.00
5557,2025-08-01,79,-8.00
2658,2025-08-01,178,0.00
374,2025-08-07,138,21.00
1403,2025-08-10,148,16.00
4588,2025-08-10,49,94.00
4530,2025-08-07,50,275.00
2155,2025-08-15,251,94.00
5021,2025-08-12,16,51.00
2189,2025-08-07,192,-5.00
4416,2025-08-11,50,-7.00
5375,2025-08-04,50,21.00
2455,2025-08-10,91,4.00
1414,2025-08-08,170,-3.00
4585,2025-08-15,48,-10.00
5526,2025-08-03,55,7.00
660,2025-08-11,271,-4.00
1967,2025-08-02,227,4.00
4597,2025-08-08,37,-10.00
1414,2025-08-14,165,-1.00
4778,2025-08-07,56,88.00
5435,2025-08-15,77,-5.00
2207,2025-08-07,183,8.00
1775,2025-08-02,238,5.00
1801,2025-08-03,251,14.00
5435,2025-08-03,75,-4.00
5398,2025-08-05,75,23.00
5038,2025-08-12,52,19.00
5534,2025-08-01,51,54.00
