flight_number,scheduled_departure_date,departure_delay_min,total_pax,ssr_count,load_category,ssr_volume
5963,2025-08-14,13.0,74,18,Medium Load,Low SSR
5447,2025-08-10,-6.0,67,19,Low Load,Low SSR
1495,2025-08-05,6.0,74,68,Medium Load,High SSR
2100,2025-08-08,0.0,191,85,High Load,High SSR
2640,2025-08-05,-1.0,59,34,Low Load,Low SSR
224,2025-08-01,6.0,196,68,High Load,High SSR
5392,2025-08-15,4.0,70,24,Low Load,Low SSR
5984,2025-08-05,10.0,100,24,Medium Load,Low SSR
5737,2025-08-13,7.0,50,13,Low Load,Low SSR
4552,2025-08-03,-7.0,44,19,Low Load,Low SSR
4476,2025-08-07,65.0,55,20,Low Load,Low SSR
4482,2025-08-02,-1.0,52,15,Low Load,Low SSR
5557,2025-08-12,16.0,81,18,Medium Load,Low SSR
2683,2025-08-11,-4.0,188,69,High Load,High SSR
5557,2025-08-13,-3.0,86,18,Medium Load,Low SSR
3716,2025-08-13,7.0,84,28,Medium Load,Low SSR
1616,2025-08-04,1.0,161,85,Medium Load,High SSR
3440,2025-08-15,-5.0,72,24,Low Load,Low SSR
5836,2025-08-10,91.0,53,17,Low Load,Low SSR
5493,2025-08-06,-7.0,54,18,Low Load,Low SSR
1775,2025-08-10,-1.0,246,69,High Load,High SSR
2653,2025-08-05,-6.0,187,49,High Load,High SSR
4552,2025-08-15,5.0,41,19,Low Load,Low SSR
1599,2025-08-11,-1.0,432,93,High Load,High SSR
2666,2025-08-07,-4.0,236,40,High Load,Low SSR
3536,2025-08-11,-5.0,67,15,Low Load,Low SSR
3409,2025-08-07,-3.0,83,29,Medium Load,Low SSR
4590,2025-08-14,66.0,60,26,Low Load,Low SSR
763,2025-08-01,-3.0,232,44,High Load,High SSR
2195,2025-08-08,-5.0,156,85,Medium Load,High SSR
1989,2025-08-12,132.0,172,46,High Load,High SSR
5930,2025-08-10,5.0,49,23,Low Load,Low SSR
1793,2025-08-12,39.0,134,38,Medium Load,Low SSR
2677,2025-08-05,-4.0,204,104,High Load,High SSR
5521,2025-08-01,61.0,47,26,Low Load,Low SSR
2487,2025-08-15,69.0,99,55,Medium Load,High SSR
3614,2025-08-09,8.0,99,23,Medium Load,Low SSR
3708,2025-08-15,-4.0,70,4,Low Load,Low SSR
1657,2025-08-08,-5.0,190,25,High Load,Low SSR
5915,2025-08-10,64.0,56,33,Low Load,Low SSR
5790,2025-08-01,54.0,54,30,Low Load,Low SSR
2427,2025-08-12,11.0,88,57,Medium Load,High SSR
265,2025-08-15,4.0,109,88,Medium Load,High SSR
1996,2025-08-08,-1.0,223,113,High Load,High SSR
5229,2025-08-14,-6.0,76,16,Medium Load,Low SSR
1361,2025-08-13,7.0,137,48,Medium Load,High SSR
1030,2025-08-09,39.0,133,43,Medium Load,High SSR
5020,2025-08-03,-10.0,30,26,Low Load,Low SSR
3718,2025-08-10,-4.0,76,21,Medium Load,Low SSR
5538,2025-08-09,-10.0,20,21,Low Load,Low SSR
1778,2025-08-10,11.0,144,94,Medium Load,High SSR
2137,2025-08-07,-1.0,228,62,High Load,High SSR
2137,2025-08-13,16.0,163,62,Medium Load,High SSR
2427,2025-08-05,-2.0,107,57,Medium Load,High SSR
4482,2025-08-11,12.0,41,60,Low Load,High SSR
1304,2025-08-05,15.0,199,73,High Load,High SSR
5250,2025-08-15,-1.0,74,14,Medium Load,Low SSR
2666,2025-08-10,-4.0,251,40,High Load,Low SSR
5568,2025-08-02,-7.0,47,28,Low Load,Low SSR
5849,2025-08-09,-2.0,88,9,Medium Load,Low SSR
763,2025-08-12,-2.0,218,44,High Load,High SSR
3465,2025-08-05,16.0,81,25,Medium Load,Low SSR
476,2025-08-07,-2.0,135,59,Medium Load,High SSR
2254,2025-08-08,-7.0,251,71,High Load,High SSR
2427,2025-08-15,29.0,77,57,Medium Load,High SSR
1491,2025-08-03,0.0,168,102,Medium Load,High SSR
3628,2025-08-04,1.0,76,20,Medium Load,Low SSR
2369,2025-08-08,-6.0,188,63,High Load,High SSR
5577,2025-08-11,-1.0,80,20,Medium Load,Low SSR
422,2025-08-03,37.0,344,143,High Load,High SSR
1041,2025-08-05,-5.0,125,38,Medium Load,Low SSR
1044,2025-08-15,64.0,272,74,High Load,High SSR
944,2025-08-08,-4.0,382,131,High Load,High SSR
1485,2025-08-15,0.0,197,78,High Load,High SSR
4491,2025-08-01,0.0,47,20,Low Load,Low SSR
4173,2025-08-06,-6.0,44,10,Low Load,Low SSR
2008,2025-08-13,3.0,229,74,High Load,High SSR
5538,2025-08-13,0.0,34,21,Low Load,Low SSR
2424,2025-08-03,0.0,183,42,High Load,High SSR
5140,2025-08-01,114.0,66,20,Low Load,Low SSR
4425,2025-08-11,26.0,52,18,Low Load,Low SSR
1830,2025-08-07,18.0,177,70,High Load,High SSR
4468,2025-08-04,12.0,47,14,Low Load,Low SSR
1811,2025-08-10,40.0,175,151,High Load,High SSR
4518,2025-08-08,-2.0,54,31,Low Load,Low SSR
5309,2025-08-11,23.0,34,23,Low Load,Low SSR
5469,2025-08-02,-1.0,76,15,Medium Load,Low SSR
3468,2025-08-13,-5.0,73,23,Medium Load,Low SSR
4748,2025-08-08,165.0,37,20,Low Load,Low SSR
2323,2025-08-06,-7.0,291,55,High Load,High SSR
5819,2025-08-01,-7.0,60,25,Low Load,Low SSR
2040,2025-08-04,-1.0,183,53,High Load,High SSR
1599,2025-08-15,-1.0,407,93,High Load,High SSR
2370,2025-08-14,-5.0,203,81,High Load,High SSR
1495,2025-08-09,45.0,112,68,Medium Load,High SSR
2684,2025-08-13,-3.0,198,70,High Load,High SSR
5470,2025-08-01,-3.0,85,23,Medium Load,Low SSR
1776,2025-08-13,99.0,190,41,High Load,High SSR
1577,2025-08-12,-4.0,259,88,High Load,High SSR
1842,2025-08-06,215.0,218,61,High Load,High SSR
5946,2025-08-14,6.0,64,23,Low Load,Low SSR
4482,2025-08-07,-4.0,43,15,Low Load,Low SSR
600,2025-08-11,-4.0,113,60,Medium Load,High SSR
2040,2025-08-01,0.0,184,53,High Load,High SSR
3433,2025-08-10,-1.0,69,26,Low Load,Low SSR
5652,2025-08-13,43.0,86,33,Medium Load,Low SSR
5446,2025-08-04,3.0,83,20,Medium Load,Low SSR
534,2025-08-06,158.0,138,108,Medium Load,High SSR
2106,2025-08-13,8.0,139,56,Medium Load,High SSR
2323,2025-08-07,-2.0,284,55,High Load,High SSR
1612,2025-08-12,203.0,54,92,Low Load,High SSR
3614,2025-08-03,8.0,89,23,Medium Load,Low SSR
5383,2025-08-13,8.0,54,13,Low Load,Low SSR
2039,2025-08-01,18.0,258,94,High Load,High SSR
312,2025-08-04,0.0,199,34,High Load,Low SSR
1933,2025-08-01,-3.0,191,40,High Load,Low SSR
5118,2025-08-14,-7.0,52,43,Low Load,High SSR
288,2025-08-08,68.0,197,64,High Load,High SSR
5395,2025-08-05,-1.0,62,36,Low Load,Low SSR
5868,2025-08-06,220.0,71,30,Low Load,Low SSR
4748,2025-08-05,-7.0,49,20,Low Load,Low SSR
5124,2025-08-02,7.0,38,19,Low Load,Low SSR
1933,2025-08-12,21.0,139,40,Medium Load,Low SSR
293,2025-08-05,-11.0,190,42,High Load,High SSR
1834,2025-08-07,10.0,161,97,Medium Load,High SSR
970,2025-08-02,-7.0,300,59,High Load,High SSR
1657,2025-08-09,-10.0,140,25,Medium Load,Low SSR
5275,2025-08-01,-4.0,52,27,Low Load,Low SSR
3520,2025-08-13,-7.0,81,13,Medium Load,Low SSR
563,2025-08-05,-8.0,223,49,High Load,High SSR
1803,2025-08-09,13.0,222,64,High Load,High SSR
980,2025-08-09,12.0,285,47,High Load,High SSR
4789,2025-08-09,73.0,70,33,Low Load,Low SSR
4645,2025-08-13,-5.0,48,23,Low Load,Low SSR
714,2025-08-01,18.0,129,95,Medium Load,High SSR
2333,2025-08-03,2.0,199,78,High Load,High SSR
3601,2025-08-03,-2.0,80,23,Medium Load,Low SSR
1859,2025-08-03,-1.0,147,50,Medium Load,High SSR
224,2025-08-13,14.0,200,68,High Load,High SSR
2278,2025-08-15,0.0,234,164,High Load,High SSR
1658,2025-08-02,-2.0,201,37,High Load,Low SSR
5344,2025-08-15,9.0,51,42,Low Load,High SSR
1564,2025-08-03,53.0,184,58,High Load,High SSR
4416,2025-08-14,-3.0,58,29,Low Load,Low SSR
5448,2025-08-03,-1.0,49,26,Low Load,Low SSR
3694,2025-08-09,16.0,91,26,Medium Load,Low SSR
4502,2025-08-13,-4.0,55,12,Low Load,Low SSR
4390,2025-08-08,-9.0,50,16,Low Load,Low SSR
2387,2025-08-07,114.0,230,21,High Load,Low SSR
3707,2025-08-09,6.0,49,17,Low Load,Low SSR
3604,2025-08-02,34.0,78,24,Medium Load,Low SSR
3542,2025-08-11,-7.0,95,20,Medium Load,Low SSR
5444,2025-08-15,-2.0,41,7,Low Load,Low SSR
2090,2025-08-02,1.0,207,41,High Load,High SSR
3571,2025-08-08,-4.0,72,27,Low Load,Low SSR
2059,2025-08-06,133.0,189,72,High Load,High SSR
1989,2025-08-01,1.0,211,46,High Load,High SSR
2011,2025-08-14,-5.0,157,87,Medium Load,High SSR
4780,2025-08-14,-7.0,45,20,Low Load,Low SSR
1933,2025-08-04,-4.0,200,40,High Load,Low SSR
2202,2025-08-12,73.0,200,55,High Load,High SSR
2232,2025-08-08,-8.0,147,20,Medium Load,Low SSR
1741,2025-08-09,-7.0,167,47,Medium Load,High SSR
5493,2025-08-13,102.0,63,18,Low Load,Low SSR
845,2025-08-01,16.0,367,212,High Load,High SSR
1740,2025-08-03,-2.0,260,44,High Load,High SSR
2628,2025-08-15,-5.0,81,49,Medium Load,High SSR
5344,2025-08-11,-6.0,47,42,Low Load,High SSR
1531,2025-08-14,33.0,145,102,Medium Load,High SSR
622,2025-08-14,1.0,409,113,High Load,High SSR
769,2025-08-15,46.0,275,61,High Load,High SSR
767,2025-08-11,9.0,224,44,High Load,High SSR
1983,2025-08-08,-2.0,203,88,High Load,High SSR
4380,2025-08-13,-9.0,45,10,Low Load,Low SSR
3635,2025-08-04,6.0,64,18,Low Load,Low SSR
1363,2025-08-02,0.0,266,113,High Load,High SSR
2652,2025-08-04,113.0,200,109,High Load,High SSR
758,2025-08-05,17.0,210,88,High Load,High SSR
1634,2025-08-07,64.0,206,101,High Load,High SSR
5376,2025-08-05,0.0,72,39,Low Load,Low SSR
5362,2025-08-07,33.0,52,32,Low Load,Low SSR
2195,2025-08-04,-4.0,166,85,Medium Load,High SSR
1742,2025-08-09,38.0,144,47,Medium Load,High SSR
378,2025-08-13,31.0,192,59,High Load,High SSR
5624,2025-08-05,18.0,95,25,Medium Load,Low SSR
563,2025-08-13,-4.0,230,49,High Load,High SSR
5309,2025-08-15,8.0,52,23,Low Load,Low SSR
2378,2025-08-14,4.0,126,47,Medium Load,High SSR
3433,2025-08-06,-5.0,72,26,Low Load,Low SSR
4518,2025-08-07,-7.0,59,31,Low Load,Low SSR
3468,2025-08-04,-7.0,84,23,Medium Load,Low SSR
5383,2025-08-05,-10.0,64,13,Low Load,Low SSR
5038,2025-08-06,237.0,40,41,Low Load,High SSR
5568,2025-08-11,-8.0,45,28,Low Load,Low SSR
5843,2025-08-15,42.0,71,19,Low Load,Low SSR
5643,2025-08-12,94.0,68,25,Low Load,Low SSR
786,2025-08-11,-2.0,161,74,Medium Load,High SSR
1198,2025-08-03,-4.0,265,36,High Load,Low SSR
4497,2025-08-09,-5.0,52,7,Low Load,Low SSR
5905,2025-08-02,-2.0,103,4,Medium Load,Low SSR
5026,2025-08-02,-1.0,33,19,Low Load,Low SSR
5555,2025-08-14,208.0,30,17,Low Load,Low SSR
4571,2025-08-05,0.0,50,18,Low Load,Low SSR
1097,2025-08-05,-4.0,87,32,Medium Load,Low SSR
1834,2025-08-13,-8.0,188,97,High Load,High SSR
1975,2025-08-07,72.0,147,51,Medium Load,High SSR
4458,2025-08-06,-3.0,62,37,Low Load,Low SSR
4568,2025-08-04,-6.0,49,15,Low Load,Low SSR
1851,2025-08-14,-5.0,137,62,Medium Load,High SSR
5447,2025-08-04,-7.0,68,19,Low Load,Low SSR
1564,2025-08-07,79.0,180,58,High Load,High SSR
1030,2025-08-04,129.0,115,43,Medium Load,High SSR
2417,2025-08-01,5.0,197,110,High Load,High SSR
2155,2025-08-03,46.0,254,73,High Load,High SSR
1205,2025-08-12,1.0,224,67,High Load,High SSR
1905,2025-08-11,4.0,187,78,High Load,High SSR
2147,2025-08-05,26.0,146,40,Medium Load,Low SSR
1316,2025-08-13,-6.0,117,60,Medium Load,High SSR
1377,2025-08-04,22.0,176,69,High Load,High SSR
4185,2025-08-09,-1.0,57,19,Low Load,Low SSR
3614,2025-08-12,107.0,59,23,Low Load,Low SSR
5555,2025-08-10,28.0,56,17,Low Load,Low SSR
3551,2025-08-01,6.0,70,19,Low Load,Low SSR
1872,2025-08-15,6.0,162,101,Medium Load,High SSR
4574,2025-08-11,-8.0,47,24,Low Load,Low SSR
476,2025-08-13,-9.0,102,59,Medium Load,High SSR
4789,2025-08-11,62.0,88,33,Medium Load,Low SSR
4517,2025-08-02,-5.0,55,14,Low Load,Low SSR
5230,2025-08-01,-6.0,52,37,Low Load,Low SSR
1941,2025-08-08,12.0,114,45,Medium Load,High SSR
310,2025-08-06,22.0,141,119,Medium Load,High SSR
482,2025-08-15,-2.0,163,28,Medium Load,Low SSR
5565,2025-08-13,11.0,56,76,Low Load,High SSR
1905,2025-08-04,-4.0,122,78,Medium Load,High SSR
4488,2025-08-09,0.0,62,1,Low Load,Low SSR
1832,2025-08-14,80.0,120,49,Medium Load,High SSR
4542,2025-08-02,-5.0,35,21,Low Load,Low SSR
4718,2025-08-15,-3.0,49,22,Low Load,Low SSR
2430,2025-08-09,-3.0,140,46,Medium Load,High SSR
5026,2025-08-10,20.0,18,19,Low Load,Low SSR
275,2025-08-12,24.0,131,47,Medium Load,High SSR
1477,2025-08-14,-9.0,119,43,Medium Load,High SSR
1252,2025-08-03,-3.0,114,13,Medium Load,Low SSR
2226,2025-08-04,-1.0,189,76,High Load,High SSR
1414,2025-08-01,40.0,175,70,High Load,High SSR
2144,2025-08-03,2.0,171,53,High Load,High SSR
2666,2025-08-15,-7.0,125,40,Medium Load,Low SSR
1306,2025-08-06,-5.0,185,58,High Load,High SSR
1677,2025-08-01,6.0,223,33,High Load,Low SSR
944,2025-08-06,-1.0,347,131,High Load,High SSR
5795,2025-08-01,-1.0,74,27,Medium Load,Low SSR
5376,2025-08-09,165.0,80,39,Medium Load,Low SSR
2677,2025-08-10,23.0,184,104,High Load,High SSR
5392,2025-08-05,-1.0,65,24,Low Load,Low SSR
2609,2025-08-02,-6.0,180,38,High Load,Low SSR
1129,2025-08-03,20.0,181,23,High Load,Low SSR
1793,2025-08-08,-6.0,138,38,Medium Load,Low SSR
5593,2025-08-10,-2.0,84,35,Medium Load,Low SSR
4194,2025-08-02,-4.0,57,12,Low Load,Low SSR
1634,2025-08-05,-3.0,192,101,High Load,High SSR
4445,2025-08-01,-11.0,49,17,Low Load,Low SSR
1205,2025-08-13,42.0,225,67,High Load,High SSR
2389,2025-08-13,-11.0,122,138,Medium Load,High SSR
1129,2025-08-02,-1.0,181,23,High Load,Low SSR
1576,2025-08-01,10.0,198,19,High Load,Low SSR
1580,2025-08-12,148.0,92,63,Medium Load,High SSR
4194,2025-08-09,-2.0,50,12,Low Load,Low SSR
1097,2025-08-07,94.0,133,32,Medium Load,Low SSR
5253,2025-08-15,1.0,81,24,Medium Load,Low SSR
5868,2025-08-13,53.0,90,30,Medium Load,Low SSR
5309,2025-08-08,94.0,51,23,Low Load,Low SSR
1041,2025-08-07,6.0,109,38,Medium Load,Low SSR
1674,2025-08-09,5.0,233,16,High Load,Low SSR
5493,2025-08-09,-8.0,64,18,Low Load,Low SSR
5493,2025-08-12,6.0,60,18,Low Load,Low SSR
1741,2025-08-02,44.0,203,47,High Load,High SSR
1297,2025-08-08,2.0,140,85,Medium Load,High SSR
5309,2025-08-09,1.0,53,23,Low Load,Low SSR
669,2025-08-14,-10.0,34,21,Low Load,Low SSR
1967,2025-08-08,1.0,196,84,High Load,High SSR
4780,2025-08-15,100.0,47,20,Low Load,Low SSR
1583,2025-08-01,15.0,207,58,High Load,High SSR
2195,2025-08-01,2.0,181,85,High Load,High SSR
288,2025-08-11,-3.0,120,64,Medium Load,High SSR
1477,2025-08-10,13.0,134,43,Medium Load,High SSR
2618,2025-08-08,7.0,162,58,Medium Load,High SSR
763,2025-08-03,-2.0,249,44,High Load,High SSR
2378,2025-08-05,7.0,223,47,High Load,High SSR
2440,2025-08-08,-5.0,197,92,High Load,High SSR
2099,2025-08-11,8.0,179,141,High Load,High SSR
2202,2025-08-02,1.0,240,55,High Load,High SSR
4778,2025-08-02,-5.0,47,16,Low Load,Low SSR
5375,2025-08-13,-7.0,48,19,Low Load,Low SSR
5037,2025-08-11,61.0,15,24,Low Load,Low SSR
2389,2025-08-15,-4.0,146,138,Medium Load,High SSR
5517,2025-08-01,-3.0,88,18,Medium Load,Low SSR
1297,2025-08-07,-2.0,122,85,Medium Load,High SSR
4739,2025-08-14,-7.0,46,31,Low Load,Low SSR
3440,2025-08-14,-6.0,80,24,Medium Load,Low SSR
5251,2025-08-06,4.0,60,23,Low Load,Low SSR
907,2025-08-05,0.0,277,135,High Load,High SSR
4425,2025-08-15,-3.0,50,18,Low Load,Low SSR
721,2025-08-12,20.0,176,45,High Load,High SSR
5260,2025-08-02,-8.0,50,12,Low Load,Low SSR
5555,2025-08-02,1.0,53,17,Low Load,Low SSR
1492,2025-08-07,56.0,111,100,Medium Load,High SSR
4610,2025-08-11,-6.0,42,16,Low Load,Low SSR
5470,2025-08-12,-1.0,88,23,Medium Load,Low SSR
5946,2025-08-02,-3.0,81,23,Medium Load,Low SSR
5555,2025-08-08,-4.0,51,17,Low Load,Low SSR
2628,2025-08-14,6.0,125,49,Medium Load,High SSR
1620,2025-08-03,-5.0,242,82,High Load,High SSR
4436,2025-08-14,33.0,50,23,Low Load,Low SSR
2427,2025-08-08,11.0,127,57,Medium Load,High SSR
5027,2025-08-10,-11.0,16,10,Low Load,Low SSR
3614,2025-08-02,92.0,83,23,Medium Load,Low SSR
5274,2025-08-08,4.0,52,39,Low Load,Low SSR
2424,2025-08-07,32.0,200,42,High Load,High SSR
881,2025-08-05,-2.0,359,93,High Load,High SSR
1599,2025-08-07,45.0,415,93,High Load,High SSR
416,2025-08-08,-2.0,225,49,High Load,High SSR
2658,2025-08-09,6.0,167,104,Medium Load,High SSR
5414,2025-08-03,1.0,62,17,Low Load,Low SSR
2226,2025-08-13,-3.0,179,76,High Load,High SSR
1909,2025-08-04,-7.0,147,55,Medium Load,High SSR
5964,2025-08-07,0.0,91,19,Medium Load,Low SSR
5289,2025-08-08,119.0,50,22,Low Load,Low SSR
1215,2025-08-09,-2.0,167,66,Medium Load,High SSR
5810,2025-08-05,-6.0,75,26,Medium Load,Low SSR
307,2025-08-04,-9.0,147,68,Medium Load,High SSR
2609,2025-08-10,2.0,159,38,Medium Load,Low SSR
563,2025-08-11,-4.0,209,49,High Load,High SSR
4530,2025-08-08,-4.0,49,11,Low Load,Low SSR
752,2025-08-08,-5.0,98,51,Medium Load,High SSR
1967,2025-08-01,-1.0,202,84,High Load,High SSR
5521,2025-08-04,0.0,62,26,Low Load,Low SSR
1398,2025-08-02,-5.0,190,96,High Load,High SSR
5470,2025-08-10,-10.0,68,23,Low Load,Low SSR
980,2025-08-04,27.0,253,47,High Load,High SSR
2691,2025-08-13,15.0,197,30,High Load,Low SSR
5470,2025-08-14,18.0,92,23,Medium Load,Low SSR
2629,2025-08-12,-4.0,125,116,Medium Load,High SSR
1710,2025-08-11,4.0,181,118,High Load,High SSR
929,2025-08-02,45.0,206,66,High Load,High SSR
1756,2025-08-03,12.0,167,29,Medium Load,Low SSR
4501,2025-08-13,-5.0,50,29,Low Load,Low SSR
4559,2025-08-05,-8.0,42,17,Low Load,Low SSR
1775,2025-08-12,-4.0,201,69,High Load,High SSR
5968,2025-08-02,-4.0,120,2,Medium Load,Low SSR
5131,2025-08-01,45.0,52,23,Low Load,Low SSR
3569,2025-08-01,-3.0,90,38,Medium Load,Low SSR
2691,2025-08-03,14.0,194,30,High Load,Low SSR
1010,2025-08-15,-1.0,76,24,Medium Load,Low SSR
4766,2025-08-13,-3.0,49,19,Low Load,Low SSR
5930,2025-08-03,4.0,68,23,Low Load,Low SSR
4748,2025-08-11,24.0,54,20,Low Load,Low SSR
5437,2025-08-03,-6.0,47,38,Low Load,Low SSR
2394,2025-08-15,9.0,230,56,High Load,High SSR
2661,2025-08-07,-5.0,182,31,High Load,Low SSR
1983,2025-08-03,0.0,199,88,High Load,High SSR
1775,2025-08-11,5.0,201,69,High Load,High SSR
3700,2025-08-01,-2.0,76,10,Medium Load,Low SSR
1306,2025-08-10,82.0,220,58,High Load,High SSR
5555,2025-08-07,96.0,47,17,Low Load,Low SSR
2290,2025-08-10,55.0,214,52,High Load,High SSR
2347,2025-08-09,19.0,143,70,Medium Load,High SSR
1655,2025-08-04,30.0,156,64,Medium Load,High SSR
660,2025-08-08,-6.0,245,55,High Load,High SSR
4529,2025-08-04,28.0,54,19,Low Load,Low SSR
721,2025-08-01,-6.0,216,45,High Load,High SSR
4610,2025-08-04,1.0,47,16,Low Load,Low SSR
1182,2025-08-07,13.0,172,61,High Load,High SSR
2418,2025-08-10,-2.0,147,40,Medium Load,Low SSR
1291,2025-08-07,98.0,245,41,High Load,High SSR
576,2025-08-05,18.0,247,102,High Load,High SSR
4718,2025-08-07,-3.0,53,22,Low Load,Low SSR
1923,2025-08-12,195.0,146,56,Medium Load,High SSR
1742,2025-08-12,12.0,127,47,Medium Load,High SSR
4549,2025-08-08,126.0,41,26,Low Load,Low SSR
1980,2025-08-13,-7.0,130,25,Medium Load,Low SSR
1044,2025-08-09,-1.0,281,74,High Load,High SSR
1801,2025-08-13,4.0,258,98,High Load,High SSR
1182,2025-08-01,9.0,140,61,Medium Load,High SSR
5099,2025-08-13,-2.0,47,22,Low Load,Low SSR
1708,2025-08-14,5.0,219,48,High Load,High SSR
4559,2025-08-13,-4.0,50,17,Low Load,Low SSR
5868,2025-08-05,-1.0,47,30,Low Load,Low SSR
5999,2025-08-11,43.0,78,9,Medium Load,Low SSR
2243,2025-08-09,-2.0,151,69,Medium Load,High SSR
5262,2025-08-01,-4.0,54,28,Low Load,Low SSR
3690,2025-08-02,0.0,85,19,Medium Load,Low SSR
5275,2025-08-04,-9.0,55,27,Low Load,Low SSR
2657,2025-08-09,-2.0,214,88,High Load,High SSR
4390,2025-08-14,38.0,54,16,Low Load,Low SSR
5593,2025-08-08,44.0,53,35,Low Load,Low SSR
5215,2025-08-01,-8.0,52,21,Low Load,Low SSR
5603,2025-08-15,50.0,56,67,Low Load,High SSR
5810,2025-08-13,2.0,29,26,Low Load,Low SSR
4406,2025-08-11,-7.0,52,21,Low Load,Low SSR
4474,2025-08-01,-9.0,44,14,Low Load,Low SSR
5405,2025-08-03,9.0,44,16,Low Load,Low SSR
1775,2025-08-04,-1.0,192,276,High Load,High SSR
476,2025-08-12,-5.0,109,59,Medium Load,High SSR
5094,2025-08-08,-10.0,46,16,Low Load,Low SSR
938,2025-08-05,7.0,204,61,High Load,High SSR
2609,2025-08-07,-5.0,180,38,High Load,Low SSR
1905,2025-08-01,-3.0,187,78,High Load,High SSR
2618,2025-08-01,4.0,142,58,Medium Load,High SSR
1258,2025-08-09,-5.0,139,3,Medium Load,Low SSR
310,2025-08-12,31.0,144,119,Medium Load,High SSR
